zipcode,population
78216,1066
78150,0
78243,8
78069,0
78218,1227
78219,243
78223,243
78225,22
78227,693
78239,822
78254,1228
78261,528
78258,4050
78109,1323
78220,137
78224,61
78229,1857
78264,134
78112,7
78214,64
78244,491
78252,37
78023,2016
78073,15
78148,496
78232,737
78235,0
78238,914
78245,1164
78247,943
78253,1442
78256,951
78259,1360
78260,1243
78201,294
78202,17
78211,1
78230,1664
78203,22
78210,125
78213,530
78222,287
78234,239
78250,2357
78257,299
78002,0
78248,468
78207,175
78233,1274
78242,154
78251,2035
78255,950
78263,0
78221,181
78101,21
78152,0
78204,105
78212,450
78215,55
78217,825
78226,30
78228,436
78231,225
78236,325
78237,121
78240,7085
78249,3761
78205,0
78208,0
78209,811
