zipcode,population
78216,2826
78150,0
78243,10
78069,87
78218,5875
78219,5007
78223,2469
78225,89
78227,3040
78239,5211
78254,3452
78261,960
78258,2508
78109,9949
78220,7490
78224,214
78229,3622
78264,0
78112,193
78214,303
78244,8413
78252,623
78023,1027
78073,163
78148,2398
78232,2020
78235,53
78238,1985
78245,6899
78247,2894
78253,3750
78256,596
78259,1065
78260,1105
78201,1332
78202,3340
78211,199
78230,2587
78203,1383
78210,2648
78213,1696
78222,4248
78234,755
78250,3282
78257,232
78002,52
78248,195
78207,1885
78233,4801
78242,1041
78251,5213
78255,663
78263,526
78221,341
78101,15
78152,0
78204,88
78212,661
78215,79
78217,3558
78226,100
78228,1574
78231,118
78236,1195
78237,784
78240,3907
78249,4286
78205,51
78208,707
78209,1380
