zipcode,population
78216,22951
78150,0
78243,29
78069,4769
78218,19300
78219,7303
78223,43944
78225,13285
78227,40660
78239,12881
78254,31392
78261,6536
78258,14166
78109,16023
78220,8083
78224,19790
78229,16279
78264,7828
78112,5745
78214,23726
78244,15150
78252,7721
78023,11757
78073,6949
78148,6759
78232,12383
78235,663
78238,17499
78245,48732
78247,22883
78253,18750
78256,3155
78259,8209
78260,8861
78201,39768
78202,7783
78211,30625
78230,22166
78203,4428
78210,30920
78213,29559
78222,15030
78234,1405
78250,37286
78257,2666
78002,5714
78248,3622
78207,50370
78233,21449
78242,29022
78251,35968
78255,5594
78263,1275
78221,35613
78101,2099
78152,288
78204,10528
78212,18391
78215,1278
78217,15647
78226,6239
78228,54850
78231,2816
78236,1260
78237,35992
78240,26629
78249,26620
78205,460
78208,3400
78209,11645
