zipcode,population
78216,33920
78150,20
78243,277
78069,4993
78218,24310
78219,9295
78223,44925
78225,11896
78227,42465
78239,19111
78254,46300
78261,14323
78258,36162
78109,21550
78220,6938
78224,19081
78229,24689
78264,8369
78112,6674
78214,21319
78244,16342
78252,8740
78023,24462
78073,8356
78148,15710
78232,32948
78235,808
78238,20568
78245,56433
78247,45456
78253,32699
78256,7349
78259,21233
78260,23494
78201,40688
78202,6197
78211,28074
78230,38145
78203,3649
78210,26921
78213,37384
78222,16701
78234,3686
78250,47487
78257,5273
78002,7199
78248,13115
78207,45752
78233,37596
78242,28969
78251,45180
78255,11945
78263,3853
78221,34108
78101,6098
78152,2063
78204,9570
78212,24908
78215,2181
78217,26249
78226,5393
78228,56202
78231,7698
78236,4151
78237,33019
78240,43430
78249,42628
78205,877
78208,2929
78209,36836
